,trade_id,ticker,count,created_time,yes_price,no_price,taker_side
11106,0db4492d-ce69-4c49-a872-37ee9c473764,ACPI-22-B7.5,1156,2022-12-13T04:21:41.361359Z,28,72,yes
11107,d8360653-e8db-4471-ad1e-b4feb510b4d5,ACPI-22-B7.5,1260,2022-12-13T04:07:30.590533Z,21,79,yes
11108,d6767b97-533d-442a-9134-8058f455eded,ACPI-22-B7.5,56,2022-12-13T04:07:30.590533Z,24,76,yes
11109,c58f3b69-a179-455d-a34e-ee75e727df24,ACPI-22-B7.5,60,2022-12-13T04:07:30.590533Z,22,78,yes
11110,6ed89c38-98a2-435c-ae67-52ac80cf9358,ACPI-22-B7.5,1322,2022-12-13T04:07:30.590533Z,23,77,yes
11111,378453f4-026c-4be0-9131-4bcdf910d515,ACPI-22-B7.5,1241,2022-12-13T04:07:30.590533Z,25,75,yes
11112,c3b05203-5c6c-425d-9be9-6dab8d2f4b19,ACPI-22-B7.5,400,2022-12-13T03:32:11.748595Z,20,80,yes
11113,e61f75a5-4c7a-42ce-9aa7-1281d92460ca,ACPI-22-B7.5,20,2022-12-13T00:18:09.140366Z,23,77,yes
11114,978bd4df-b531-4c8f-9411-d0be6929b627,ACPI-22-B7.5,954,2022-12-12T22:30:27.857289Z,21,79,yes
11115,06cdc767-5c50-4c87-8d1b-1583095b1962,ACPI-22-B7.5,461,2022-12-12T22:30:27.857289Z,21,79,yes
11116,caf34939-b5a7-49b2-9fb4-0539e4568cb4,ACPI-22-B7.5,5,2022-12-12T21:46:44.994731Z,21,79,yes
11117,407d0a6a-570e-4dba-85d9-6bf7bfcf71f7,ACPI-22-B7.5,1193,2022-12-12T21:42:50.908561Z,19,81,yes
11118,2bccbef1-68bf-42d9-b3e1-51b59efa0211,ACPI-22-B7.5,514,2022-12-12T21:29:35.352709Z,19,81,yes
11119,f5bf4654-9f7f-4fa3-aabb-ea9c6df58d72,ACPI-22-B7.5,1671,2022-12-12T21:28:17.051999Z,17,83,yes
11120,ab735869-1632-417b-9f6d-140a7993351d,ACPI-22-B7.5,1354,2022-12-12T21:27:28.688629Z,15,85,yes
11121,61ad9310-b1bd-488e-9cf5-009c9e631687,ACPI-22-B7.5,90,2022-12-12T21:27:28.688629Z,15,85,yes
11122,a4c8a0fc-7c41-4bb4-a22f-0b5a026f477b,ACPI-22-B7.5,200,2022-12-12T20:52:29.029571Z,11,89,no
11123,48a8e224-f7dc-4842-bf95-2dc142e28a91,ACPI-22-B7.5,200,2022-12-12T19:56:44.194893Z,13,87,yes
11124,d88e9848-c6f3-4e84-92fc-5ec5f5546519,ACPI-22-B7.5,100,2022-12-12T14:10:42.299905Z,13,87,yes
11125,a7ef3b21-be4e-4cd7-ba4c-280067f6e2ba,ACPI-22-B7.5,10,2022-12-12T14:08:54.438006Z,12,88,no
11126,d5c0573b-db84-49ee-92d1-653dbbd936ae,ACPI-22-B7.5,200,2022-12-12T14:08:53.111145Z,17,83,no
11127,691a72cf-7eb9-4148-873f-2e58e788fb26,ACPI-22-B7.5,200,2022-12-12T14:08:53.111145Z,14,86,no
11128,573f330a-58d5-4115-b582-87cb67be410b,ACPI-22-B7.5,50,2022-12-12T14:08:53.111145Z,17,83,no
11129,6ba04894-4869-47c9-a8c7-c3de06ff98b6,ACPI-22-B7.5,250,2022-12-11T17:59:38.618264Z,19,81,yes
11130,e6652984-36e6-4c82-91b0-81b8583cf865,ACPI-22-B7.5,50,2022-12-10T02:05:26.796514Z,19,81,yes
11131,9929eafe-4f35-4473-996d-da10f19deba4,ACPI-22-B7.5,25,2022-12-09T22:26:34.389847Z,19,81,yes
11132,66d61490-602d-435a-8970-9b8a29e00fe2,ACPI-22-B7.5,25,2022-12-09T22:13:50.473297Z,19,81,yes
11133,bd4eda0c-220d-41c5-bfdc-b3a533f318b4,ACPI-22-B7.5,25,2022-12-09T22:08:52.72545Z,19,81,yes
11134,a3d594e1-2657-43b4-be6c-2ade4f5e583b,ACPI-22-B7.5,41,2022-12-09T20:20:47.003482Z,19,81,yes
11135,b5b9c924-4e0e-403b-80a2-8770dce0f55b,ACPI-22-B7.5,100,2022-12-07T23:24:08.928141Z,21,79,no
11136,7c28d876-213d-4152-a77e-c104a683bde4,ACPI-22-B7.5,20,2022-12-07T23:24:08.928141Z,21,79,no
11137,fadce8e1-74ee-4c8d-9058-d834bcc06473,ACPI-22-B7.5,25,2022-12-07T22:19:48.959909Z,22,78,no
11138,783db756-a169-40b9-8f0d-1fea1d39441e,ACPI-22-B7.5,150,2022-12-07T22:19:48.959909Z,22,78,no
11139,3cd00467-6545-4fc1-b6c7-60d08acad99d,ACPI-22-B7.5,100,2022-12-06T15:12:59.19869Z,26,74,yes
11140,c765ac99-cdcf-49c0-a8f6-3cdd9a6f8be1,ACPI-22-B7.5,200,2022-12-05T18:19:45.933437Z,25,75,yes
11141,c4aa22c8-0dae-4187-b968-727575b2c720,ACPI-22-B7.5,1,2022-12-05T16:57:53.447778Z,25,75,yes
