date,contract_preamble,expiry_date,mean,median,mode,variance,skewness,kurtosis
2025-04-27,FED-25SEP,2025-09-18,3.7631313131313133,3.830246913580247,4,0.3492289490146851,0.029082774049214485,0.18572870534242325
2025-04-28,FED-25DEC,2025-10-11,3.5633838383838388,3.55625,4,0.47985936551516606,0.11160515784793308,-0.3248614823008751
2025-04-28,FED-25JUL,2025-07-31,3.8840909090909106,3.980769230769231,4,0.27113246792998863,-0.3280914939242311,0.9307501569921861
2025-04-28,FED-25JUN,2025-06-19,4.053787878787879,4.103896103896104,4.25,0.11414477650703546,-0.8662207357859535,4.656137632902946
2025-04-28,FED-25MAY,2025-05-08,4.2146464646464645,4.22265625,4.25,0.012766683259490116,-1.000000000000003,13.299379330625467
2025-04-28,FED-25OCT,2025-10-11,3.6025252525252522,3.609375,3.5,0.4157164441064044,0.19863013698630083,-0.20784781048900358
2025-04-28,FED-25SEP,2025-09-18,3.7694444444444444,3.8463855421686746,4,0.3493400616717116,-0.5120583286595628,0.1822500474067632
2025-04-29,FED-25DEC,2025-10-11,3.5727272727272728,3.576923076923077,4,0.48509196649692515,0.1267605633802802,-0.3571539749390866
2025-04-29,FED-25JUL,2025-07-31,3.8820707070707083,3.977777777777778,4,0.27124197025865227,-0.331911869225301,0.894644997171326
2025-04-29,FED-25JUN,2025-06-19,4.050757575757576,4.102941176470588,4.25,0.10813889584550744,-0.8875140607424071,4.552837233492327
2025-04-29,FED-25MAY,2025-05-08,4.212121212121213,4.2189119170984455,4.25,0.012579885169416851,-1.0000000000000049,12.268217551869947
2025-04-29,FED-25OCT,2025-10-11,3.6025252525252522,3.611111111111111,3.75,0.41635413413803374,0.19766309639727309,-0.2159369098420254
2025-04-29,FED-25SEP,2025-09-18,3.770707070707071,3.847058823529412,4,0.3483323181823335,-0.51068616422947255,0.20034925777803858
2025-04-30,FED-25DEC,2025-10-11,3.5747474747474746,3.575,4,0.4817811313832129,0.1313220940550122,-0.3247778875834446
