date,contract_preamble,expiry_date,mean,median,mode,variance,skewness,kurtosis
2023-02-12,U3-23FEB,2023-03-11,3.377272727272728,3.3659999999999997,3.4,0.04279016055875562,-0.1821862348178118,27.193381743271193
2023-02-13,U3-23FEB,2023-03-11,3.377272727272728,3.3659999999999997,3.4,0.04279016055875562,-0.1821862348178118,27.193381743271193
2023-02-14,U3-23FEB,2023-03-11,3.377272727272728,3.3659999999999997,3.4,0.04279016055875562,-0.1821862348178118,27.193381743271193
2023-02-15,U3-23FEB,2023-03-11,3.3767676767676766,3.3645454545454543,3.4,0.04179742532971797,-0.1949152542372884,28.66963984574314
2023-02-16,U3-23FEB,2023-03-11,3.3727272727272717,3.3689320388349513,3.4,0.027919229021157396,-0.23684210526315844,18.419190925221645
2023-02-17,U3-23FEB,2023-03-11,3.379292929292929,3.378095238095238,3.4,0.028798597133460918,-0.18894009216589425,23.0394983436967
2023-02-18,U3-23FEB,2023-03-11,3.4085858585858593,3.414285714285714,3.4,0.03752374268137965,0.08457711442785962,24.68249861889785
2023-02-19,U3-23FEB,2023-03-11,3.45050505050505,3.4586466165413534,3.5,0.050989437276550836,-0.4260869565217351,21.182008738803006
2023-02-20,U3-23FEB,2023-03-11,3.4419191919191916,3.46,3.5,0.03153795891781812,-0.5502392344497595,21.38343930004012
2023-02-21,U3-23FEB,2023-03-11,3.4045454545454543,3.4018018018018017,3.4,0.03971997291556521,0.03896103896104158,25.780143207600176
2023-02-22,U3-23FEB,2023-03-11,3.399494949494949,3.4018018018018017,3.4,0.030557848663144052,-0.004524886877826591,25.599152802288696
2023-02-23,U3-23FEB,2023-03-11,3.399494949494949,3.4018018018018017,3.4,0.030557848663144052,-0.004524886877826591,25.599152802288696
2023-02-24,U3-23FEB,2023-03-11,3.3974747474747473,3.4008849557522125,3.4,0.029735421761745616,-0.02325581395348494,27.23083829506351
2023-02-25,U3-23FEB,2023-03-11,3.3929292929292925,3.384677419354839,3.4,0.03872105402561478,-0.07368421052632437,27.334056686997997
2023-02-26,U3-23FEB,2023-03-11,3.3934343434343424,3.3854838709677417,3.4,0.038676995441611295,-0.06878306878307912,27.359914815747416
2023-02-27,U3-23FEB,2023-03-11,3.3868686868686866,3.3853658536585365,3.4,0.02665982341525654,-0.14606741573034415,24.026725571628866
2023-02-28,U3-23FEB,2023-03-11,3.382828282828282,3.3829268292682926,3.4,0.02643411979194042,-0.19101123595505864,24.781398727286057
2023-03-01,U3-23FEB,2023-03-11,3.382828282828282,3.3829268292682926,3.4,0.02643411979194042,-0.19101123595505864,24.781398727286057
2023-03-02,U3-23FEB,2023-03-11,3.3823232323232326,3.3826446280991735,3.4,0.026161265754164442,-0.1912568306010935,23.528718116564217
2023-03-03,U3-23FEB,2023-03-11,3.382828282828283,3.3826446280991735,3.4,0.02633208938687972,-0.18478260869564977,23.162410346875813
2023-03-04,U3-23FEB,2023-03-11,3.385858585858585,3.3847457627118644,3.4,0.02734620977657403,-0.14736842105263484,21.205921955780642
2023-03-05,U3-23FEB,2023-03-11,3.387373737373737,3.386440677966102,3.4,0.026519918087105115,-0.13513513513513423,22.489658901593202
2023-03-06,U3-23FEB,2023-03-11,3.386363636363636,3.3847457627118644,3.4,0.02659515262821048,-0.14438502673796827,22.421747789057694
2023-03-07,U3-23FEB,2023-03-11,3.3702020202020195,3.3669230769230767,3.4,0.025886092843546166,-0.3224043715847058,25.135598949009538
2023-03-08,U3-23FEB,2023-03-11,3.364646464646464,3.3629921259842517,3.4,0.024143073423759064,-0.3763440860215114,26.203492938968658
2023-03-09,U3-23FEB,2023-03-11,3.351515151515152,3.3511627906976744,3.4,0.023745257905037512,-0.5052631578947402,28.121089756622315
2023-03-09,U3-23MAR,2023-04-08,3.4853535353535348,3.450967741935484,3.4,0.02921908607552932,0.9999999999999933,29.359363684824018
2023-03-10,U3-23FEB,2023-03-11,3.348484848484848,3.339655172413793,3.4,0.023337136284794682,0.47058823529412075,29.12399872024139
2023-03-10,U3-23MAR,2023-04-08,3.3984848484848476,3.355813953488372,3.1999999999999997,0.05330856777137775,-0.008695652173917871,10.218317035079588
2023-03-11,U3-23FEB,2023-03-11,3.444949494949495,3.4413223140495868,3.6,0.03923043309330425,0.2688821752265867,6.167582209186094
2023-03-11,U3-23MAR,2023-04-08,3.5136363636363632,3.5,3.5,0.04322610865310594,0.09747292418772581,10.124510462183759
2023-03-12,U3-23MAR,2023-04-08,3.5136363636363632,3.5,3.5,0.04322610865310594,0.09747292418772581,10.124510462183759
2023-03-13,U3-23MAR,2023-04-08,3.5136363636363632,3.5,3.5,0.04322610865310594,0.09747292418772581,10.124510462183759
2023-03-14,U3-23MAR,2023-04-08,3.5126262626262617,3.5,3.5,0.04151838763102924,0.09157509157509092,10.900884473303982
